Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2021-09-29 ,1750283,1.17,1361849.93,Yes
2021-10-01 ,6126,1.26,4541.84,No
2021-10-02 ,18441,0.72,14019.88,Yes
2021-10-03 ,25925,0.75,19670.06,Yes
2021-10-04 ,11532,1.3,8650.59,Yes
2021-10-05 ,8480,0.83,6380.7,No
2021-10-06 ,22203,0.77,16884.46,Yes
2021-10-07 ,19973,0.72,15225.1,Yes
2021-10-08 ,19017,0.74,14382.21,Yes
2021-10-09 ,20558,0.84,15531.73,Yes
2021-10-10 ,50884,0.39,39274.89,Yes
2021-10-11 ,14725,0.5,11264.69,Yes
2021-10-12 ,30568,0.51,23356.94,Yes
2021-10-13 ,16007,0.55,12313.82,Yes
2021-10-14 ,21735,0.48,16756.38,Yes
2021-10-15 ,18195,0.73,13866.66,Yes
2021-10-16 ,20907,0.43,16102.33,Yes
2021-10-17 ,15218,0.45,11621.08,Yes
2021-10-18 ,17166,0.74,12978.86,Yes
2021-10-19 ,22958,0.48,17632.16,Yes
2021-10-20 ,23329,0.44,17909.79,Yes
2021-10-21 ,23179,0.46,17727.8,Yes
2021-10-22 ,28989,0.52,22242.65,Yes
2021-10-23 ,28789,0.48,22110.57,Yes
2021-10-24 ,15508,0.42,11914.67,Yes
2021-10-25 ,22607,0.56,17214.2,Yes
2021-10-26 ,8371,0.8,6317.08,No
2021-10-27 ,7059,1.26,5230.75,No
2021-10-28 ,6292,1.29,4687.14,No
2021-10-29 ,7002,1.28,5227.15,No
2021-10-30 ,9210,1.28,6839.24,No
2021-10-31 ,4073,1.27,3017.05,No
2021-11-01 ,4759,1.28,3561.95,No
2021-11-02 ,4266,1.28,3186.4,No
2021-11-03 ,5843,1.28,4346.22,No
2021-11-04 ,5662,1.3,4243.17,No
2021-11-05 ,12123,1.28,9038.78,Yes
2021-11-06 ,6565,1.3,4901.89,No
2021-11-07 ,7232,1.27,5432.77,No
2021-11-08 ,4588,1.28,3414.14,No
2021-11-09 ,3693,1.27,2753.63,No
2021-11-10 ,3625,1.31,2722.36,No
2021-11-11 ,5376,1.28,3993.23,No
2021-11-12 ,7824,1.14,5739.73,No
2021-11-13 ,1154,1.16,847.27,No
2021-11-14 ,4091,1.23,2937.15,No
2021-11-15 ,3988,1.25,2956.58,No
2021-11-16 ,16007,0.74,12116.63,Yes
2021-11-17 ,16450,0.71,12399.47,Yes
2021-11-18 ,17101,0.8,12828.94,Yes
2021-11-19 ,14971,0.89,11208.27,Yes
2021-11-20 ,17599,0.73,13142.19,Yes
2021-11-21 ,12506,0.85,9376.9,Yes
2021-11-22 ,11764,0.57,8965.59,Yes
2021-11-23 ,21033,0.69,15992.82,Yes
2021-11-24 ,47726,0.47,36718.77,Yes
2021-11-25 ,22140,0.42,17045.72,Yes
2021-11-26 ,14284,0.44,10955.67,Yes
2021-11-27 ,13788,0.84,10425.13,Yes
2021-11-28 ,21034,0.72,15997.02,Yes
2021-11-29 ,22783,0.48,17508.93,Yes
2021-11-30 ,22865,0.47,17621.18,Yes
2021-12-01 ,22164,0.46,17092.53,Yes
2021-12-02 ,11298,0.71,8530.56,Yes
2021-12-03 ,8092,0.33,6274.01,No
