com.samsung.shealth.food_frequent,6196009,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.99,2021-07-31 04:42:22.355,2021-07-31 04:42:22.355,0.99,0.99,0.99,yRTf/ExtON,com.sec.android.app.shealth,0.99,f29c72f4-9444-4256-907b-0ca1653cc448,53f604a8-5614-45f7-a7f9-8dfe445291b3,0.99,
0.95,2021-07-31 04:42:22.355,2021-07-31 04:42:22.355,0.95,0.95,0.95,yRTf/ExtON,com.sec.android.app.shealth,0.95,9724102c-5f97-4ce0-a46c-0fd0cb64b04b,9aab8565-85a9-49c6-8c9b-dd176daf4d7e,0.95,
0.71,2021-07-31 04:42:22.358,2021-07-31 04:42:22.358,0.71,0.71,0.71,yRTf/ExtON,com.sec.android.app.shealth,0.71,0851baa5-315c-4558-9ebb-746395707b2b,dd38da9e-191d-468b-b2b4-1a4325a39b5a,0.71,
0.95,2019-12-27 07:51:11.591,2019-12-27 07:51:11.591,0.95,0.95,0.95,JlvNRvbtnm,com.sec.android.app.shealth,0.95,31260347-9224-4bc1-a7f3-9d1184192ed4,d549bd4c-83f9-4b1e-91ed-34517d46da90,0.95,
0.87,2019-12-27 07:51:11.600,2019-12-27 07:51:11.600,0.87,0.87,0.87,JlvNRvbtnm,com.sec.android.app.shealth,0.87,bd3a2fc8-9f63-432f-afe2-6a2cb461cba5,06a4d1ff-946e-4a8b-8e54-629742892d25,0.87,
0.75,2021-07-31 04:42:22.357,2021-07-31 04:42:22.357,0.75,0.75,0.75,yRTf/ExtON,com.sec.android.app.shealth,0.75,aa267131-e0f9-4a96-a380-63d9922f6d59,1b3b5d7e-f450-4e68-ab36-0297b8bca180,0.75,
0.91,2021-07-31 04:42:22.356,2021-07-31 04:42:22.356,0.91,0.91,0.91,yRTf/ExtON,com.sec.android.app.shealth,0.91,f77a7a2e-5630-462e-a232-0931292a0dca,41087e44-2cea-4659-9dae-256075dc2c22,0.91,
0.67,2021-07-31 04:42:22.358,2021-07-31 04:42:22.358,0.67,0.67,0.67,yRTf/ExtON,com.sec.android.app.shealth,0.67,995803c9-b5fe-4c73-8097-73dd00f6d20a,7b41155d-7c94-4ea7-b1f0-dcc06b8a2211,0.67,
0.83,2019-12-27 07:51:11.601,2019-12-27 07:51:11.601,0.83,0.83,0.83,JlvNRvbtnm,com.sec.android.app.shealth,0.83,6ffef085-b8a6-44da-a799-9b3d3618e5d4,5230df42-4003-45bf-b744-d25500aaad9a,0.83,
0.63,2019-12-27 07:51:11.617,2019-12-27 07:51:11.617,0.63,0.63,0.63,JlvNRvbtnm,com.sec.android.app.shealth,0.63,5c3838cd-c6c3-429d-b74c-3da2a003775f,f1f3efb2-98ea-4fa0-b218-2e0527b843c6,0.63,
0.87,2021-07-31 04:42:22.356,2021-07-31 04:42:22.356,0.87,0.87,0.87,yRTf/ExtON,com.sec.android.app.shealth,0.87,16a3137d-0117-498f-9526-b998962f4e7a,0e82125f-6394-48c9-b0df-5bfdfd7a05e5,0.87,
0.63,2021-07-31 04:42:22.358,2021-07-31 04:42:22.358,0.63,0.63,0.63,yRTf/ExtON,com.sec.android.app.shealth,0.63,43741ad3-eee1-412f-a562-38827dc2b59c,c336c510-caa9-4fc0-b1d3-ab6ebd9b795b,0.63,
0.67,2019-12-27 07:51:11.615,2019-12-27 07:51:11.615,0.67,0.67,0.67,JlvNRvbtnm,com.sec.android.app.shealth,0.67,d4a917bb-174a-4020-8954-53c6a253af78,84fc3ac4-71c0-4924-9b6d-b02c26fe54f5,0.67,
0.99,2019-12-27 07:51:11.590,2019-12-27 07:51:11.590,0.99,0.99,0.99,JlvNRvbtnm,com.sec.android.app.shealth,0.99,62dc1f25-34e2-4f55-bc59-319368a5b9ca,33d3227c-9937-42a2-985b-21bb8055031e,0.99,
0.83,2021-07-31 04:42:22.357,2021-07-31 04:42:22.357,0.83,0.83,0.83,yRTf/ExtON,com.sec.android.app.shealth,0.83,648b1adb-be4a-4397-996d-4c9c09da985c,be6eec9e-401e-47a4-9ca2-e969bd11a0a4,0.83,
0.71,2019-12-27 07:51:11.604,2019-12-27 07:51:11.604,0.71,0.71,0.71,JlvNRvbtnm,com.sec.android.app.shealth,0.71,acd4e686-3b19-42eb-b3d6-780b07c7b942,bc812635-84e7-42a7-a523-ba4a2d0efaae,0.71,
0.91,2019-12-27 07:51:11.599,2019-12-27 07:51:11.599,0.91,0.91,0.91,JlvNRvbtnm,com.sec.android.app.shealth,0.91,917e38ab-683b-454b-a48b-01f6f44607b8,0c9698c0-33da-45d8-ae2f-b558add5b77b,0.91,
0.79,2021-07-31 04:42:22.357,2021-07-31 04:42:22.357,0.79,0.79,0.79,yRTf/ExtON,com.sec.android.app.shealth,0.79,7fcfa8b9-abe8-426b-9620-5b2633a8f5fd,43eeee04-426a-4a0a-a935-8fb0587f73da,0.79,
0.79,2019-12-27 07:51:11.602,2019-12-27 07:51:11.602,0.79,0.79,0.79,JlvNRvbtnm,com.sec.android.app.shealth,0.79,9f1ab965-a121-4e52-b8c3-1328dc756c91,9941799f-807d-4f10-a8a8-d8125a43bf64,0.79,
0.75,2019-12-27 07:51:11.603,2019-12-27 07:51:11.603,0.75,0.75,0.75,JlvNRvbtnm,com.sec.android.app.shealth,0.75,6599358a-7d88-4161-b4ad-8d1b8eb1fd83,ae483661-b4fd-4f80-87bd-cadb216f5f26,0.75,
