com.samsung.health.device_profile,6196009,6
manufacturer,providing_step_goal,step_source_group,device_type,backsync_step_goal,capability,device_group,update_time,create_time,name,model,connectivity_type,deviceuuid,pkg_name,fixed_name,datauuid
Samsung,,,,,,360001,2021-07-31 04:42:09.072,2021-07-31 04:42:09.072,My Device,SM-G991N,,yRTf/ExtON,com.sec.android.app.shealth,원수의 S21,3f12adc7-ea59-1baf-6405-984a1de44801,
Combined,,,,,,0,2021-07-31 04:42:21.570,2021-07-31 04:42:21.570,Combined,Combined,,VfS0qUERdZ,com.sec.android.app.shealth,원수의 S21,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,0,2021-07-31 04:42:22.564,2021-07-31 04:42:22.564,all_target,all_target,,Mk66SbFqK1,com.sec.android.app.shealth,원수의 S21,471ca32b-a665-1e9e-7c27-7ac69485dc05,
Samsung Electronics,1,25,10051,1,ed8d1762-faa2-1800-395f-d1785c016451.capability.json,360003,2021-10-09 17:02:29.962,2021-07-31 04:42:09.103,Galaxy Fit2,,,6IWymrwdIX,com.sec.android.app.shealth,원수의 S21,ed8d1762-faa2-1800-395f-d1785c016451,
Samsung,,,,,,360001,2019-12-27 07:51:10.913,2019-12-27 07:51:10.913,My Device,SM-A305N,,JlvNRvbtnm,com.sec.android.app.shealth,Galaxy A30,269ecf3d-9b1a-7f43-4c01-c1c93ce0e8fe,
Samsung Electronics,1,25,10051,1,64172058-f604-5fa7-ca16-1a3accc0128a.capability.json,360003,2021-07-31 04:48:07.086,2021-07-31 04:48:07.082,Galaxy Fit2,,,GzaRnrgqFB,com.sec.android.app.shealth,원수의 S21,64172058-f604-5fa7-ca16-1a3accc0128a,
