com.samsung.health.food_info,6196009,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
256.0,1.0,0.0,0.0,0.0,"353 kcal, 100 g당",,samsungosp-012011,100,4.0,3.09,0.64,2021-07-31 04:42:22.115,2021-07-31 04:42:22.115,0.01,7.8,0.06,2.0,잡곡밥,0.0,0.0,16.0,352.8,인분,,yRTf/ExtON,g,0.03,0.0,com.sec.android.app.shealth,76.6,0.28344673,9aab8565-85a9-49c6-8c9b-dd176daf4d7e,1,
72.0,18.0,0.0,0.0,7.0,"43 kcal, 115 g당",,samsungosp-203017,115,5.0,0.0,1.935,2021-07-31 04:42:22.172,2021-07-31 04:42:22.172,0.0,0.37,0.0,0.0,"커피,설탕,프림",0.0,0.0,12.0,42.8,인분,,yRTf/ExtON,g,0.0,0.0,com.sec.android.app.shealth,5.8,2.6869159,dd38da9e-191d-468b-b2b4-1a4325a39b5a,1,
83.0,1.0,0.0,0.0,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2021-07-31 04:42:22.114,2021-07-31 04:42:22.114,0.0,5.13,0.0,1.0,쌀밥,0.0,0.0,5.0,316.8,인분,,yRTf/ExtON,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,53f604a8-5614-45f7-a7f9-8dfe445291b3,1,
293.0,0.0,0.0,0.0,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2021-07-31 04:42:22.127,2021-07-31 04:42:22.127,0.0,6.84,0.0,1.0,현미밥,0.0,0.0,5.0,315.0,인분,,yRTf/ExtON,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,41087e44-2cea-4659-9dae-256075dc2c22,1,
60.0,0.0,0.0,0.0,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2021-07-31 04:42:22.172,2021-07-31 04:42:22.172,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,0.0,2.0,3.0,인분,,yRTf/ExtON,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,7b41155d-7c94-4ea7-b1f0-dcc06b8a2211,1,
83.0,1.0,0.0,,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2019-12-27 07:51:11.376,2019-12-27 07:51:11.376,0.0,5.13,0.0,1.0,쌀밥,0.0,,5.0,316.8,인분,,JlvNRvbtnm,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,33d3227c-9937-42a2-985b-21bb8055031e,1,
380.0,7.0,10.0,0.0,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2021-07-31 04:42:22.171,2021-07-31 04:42:22.171,0.0,1.2,0.0,1.0,바나나,0.0,0.0,4.0,80.0,인분,,yRTf/ExtON,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,1b3b5d7e-f450-4e68-ab36-0297b8bca180,1,
180.0,29.0,8.0,0.0,0.0,"11 kcal, 60 g당",,samsungosp-141008,60,688.0,1.8,0.3,2021-07-31 04:42:22.169,2021-07-31 04:42:22.169,0.0,1.2,0.0,0.0,배추김치,0.0,0.0,28.0,10.8,인분,,yRTf/ExtON,g,0.0,0.0,com.sec.android.app.shealth,2.3,5.5555553,0e82125f-6394-48c9-b0df-5bfdfd7a05e5,1,
296.0,56.0,2.0,0.0,22.0,"120 kcal, 200 g당",,samsungosp-191005,200,110.0,0.0,6.4,2021-07-31 04:42:22.208,2021-07-31 04:42:22.208,1.82,6.4,0.22,0.0,우유,0.0,0.0,210.0,120.0,인분,,yRTf/ExtON,g,4.34,0.0,com.sec.android.app.shealth,9.4,1.6666666,c336c510-caa9-4fc0-b1d3-ab6ebd9b795b,1,
293.0,0.0,0.0,,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2019-12-27 07:51:11.380,2019-12-27 07:51:11.380,0.0,6.84,0.0,1.0,현미밥,0.0,,5.0,315.0,인분,,JlvNRvbtnm,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,0c9698c0-33da-45d8-ae2f-b558add5b77b,1,
420.0,386.0,14.0,0.0,79.0,"445 kcal, 191 g당",,samsungosp-016001,190,662.0,3.31,12.765,2021-07-31 04:42:22.170,2021-07-31 04:42:22.170,2.93,10.656,4.41,3.0,김밥,0.0,0.0,42.0,444.8,인분,,yRTf/ExtON,g,1.61,0.0,com.sec.android.app.shealth,71.2,0.4271583,43eeee04-426a-4a0a-a935-8fb0587f73da,1,
72.0,18.0,0.0,,7.0,"43 kcal, 115 g당",,samsungosp-203017,115,5.0,0.0,1.935,2019-12-27 07:51:11.435,2019-12-27 07:51:11.435,0.0,0.37,0.0,0.0,"커피,설탕,프림",0.0,,12.0,42.8,인분,,JlvNRvbtnm,g,0.0,0.0,com.sec.android.app.shealth,5.8,2.6869159,bc812635-84e7-42a7-a523-ba4a2d0efaae,1,
385.0,159.0,1.0,,240.0,"515 kcal, 169 g당",,samsungosp-031004,169,1252.0,3.66,20.599,2019-12-27 07:51:11.388,2019-12-27 07:51:11.388,2.19,15.992,0.8,2.0,라면,0.0,,42.0,515.0,인분,,JlvNRvbtnm,g,1.57,0.0,com.sec.android.app.shealth,73.9,0.32815534,5230df42-4003-45bf-b744-d25500aaad9a,1,
385.0,159.0,1.0,0.0,240.0,"515 kcal, 169 g당",,samsungosp-031004,169,1252.0,3.66,20.599,2021-07-31 04:42:22.170,2021-07-31 04:42:22.170,2.19,15.992,0.8,2.0,라면,0.0,0.0,42.0,515.0,인분,,yRTf/ExtON,g,1.57,0.0,com.sec.android.app.shealth,73.9,0.32815534,be6eec9e-401e-47a4-9ca2-e969bd11a0a4,1,
60.0,0.0,0.0,,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2019-12-27 07:51:11.439,2019-12-27 07:51:11.439,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,,2.0,3.0,인분,,JlvNRvbtnm,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,84fc3ac4-71c0-4924-9b6d-b02c26fe54f5,1,
256.0,1.0,0.0,,0.0,"353 kcal, 100 g당",,samsungosp-012011,100,4.0,3.09,0.64,2019-12-27 07:51:11.378,2019-12-27 07:51:11.378,0.01,7.8,0.06,2.0,잡곡밥,0.0,,16.0,352.8,인분,,JlvNRvbtnm,g,0.03,0.0,com.sec.android.app.shealth,76.6,0.28344673,d549bd4c-83f9-4b1e-91ed-34517d46da90,1,
180.0,29.0,8.0,,0.0,"11 kcal, 60 g당",,samsungosp-141008,60,688.0,1.8,0.3,2019-12-27 07:51:11.386,2019-12-27 07:51:11.386,0.0,1.2,0.0,0.0,배추김치,0.0,,28.0,10.8,인분,,JlvNRvbtnm,g,0.0,0.0,com.sec.android.app.shealth,2.3,5.5555553,06a4d1ff-946e-4a8b-8e54-629742892d25,1,
296.0,56.0,2.0,,22.0,"120 kcal, 200 g당",,samsungosp-191005,200,110.0,0.0,6.4,2019-12-27 07:51:11.444,2019-12-27 07:51:11.444,1.82,6.4,0.22,0.0,우유,0.0,,210.0,120.0,인분,,JlvNRvbtnm,g,4.34,0.0,com.sec.android.app.shealth,9.4,1.6666666,f1f3efb2-98ea-4fa0-b218-2e0527b843c6,1,
420.0,386.0,14.0,,79.0,"445 kcal, 191 g당",,samsungosp-016001,190,662.0,3.31,12.765,2019-12-27 07:51:11.390,2019-12-27 07:51:11.390,2.93,10.656,4.41,3.0,김밥,0.0,,42.0,444.8,인분,,JlvNRvbtnm,g,1.61,0.0,com.sec.android.app.shealth,71.2,0.4271583,9941799f-807d-4f10-a8a8-d8125a43bf64,1,
380.0,7.0,10.0,,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2019-12-27 07:51:11.413,2019-12-27 07:51:11.413,0.0,1.2,0.0,1.0,바나나,0.0,,4.0,80.0,인분,,JlvNRvbtnm,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,ae483661-b4fd-4f80-87bd-cadb216f5f26,1,
