Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-31 ,69.22,70.55,55.16
2021-08-01 ,72.04,75.19,59.83
2021-08-02 ,69.43,76.92,60.6
2021-08-03 ,70.0,67.96,39.19
2021-08-04 ,67.84,67.07,39.7
2021-08-05 ,59.64,68.06,39.76
2021-08-06 ,67.52,77.42,56.96
2021-08-07 ,70.0,85.71,43.0
2021-08-08 ,70.0,67.07,46.0
2021-08-09 ,67.97,70.69,43.17
2021-08-11 ,65.79,71.46,53.0
2021-08-12 ,62.0,69.47,63.0
2021-08-13 ,70.0,72.05,38.46
2021-08-14 ,48.0,76.99,52.0
2021-08-15 ,70.0,94.74,39.0
2021-08-16 ,64.38,70.27,53.74
2021-08-17 ,70.0,65.56,44.0
2021-08-18 ,70.0,71.91,41.0
2021-08-19 ,74.0,72.17,65.0
2021-08-20 ,70.49,72.21,45.42
2021-08-21 ,70.92,81.16,49.44
2021-08-22 ,70.0,65.08,29.0
2021-08-23 ,50.0,64.17,60.0
2021-08-24 ,58.0,69.05,45.0
2021-09-20 ,70.0,58.89,34.0
2021-09-21 ,56.0,74.15,51.0
2021-09-22 ,66.34,74.39,56.36
2021-09-25 ,70.0,80.6,46.73
2021-09-26 ,70.0,70.7,36.0
2021-09-27 ,71.63,70.18,49.17
2021-09-28 ,70.0,77.02,43.0
2021-09-29 ,70.0,75.9,37.08
2021-09-30 ,66.77,82.58,50.72
2021-10-02 ,66.62,74.86,44.38
2021-10-03 ,70.0,72.52,37.82
2021-10-06 ,73.0,82.44,44.0
2021-10-07 ,70.0,77.53,43.89
2021-10-08 ,73.53,80.16,61.69
2021-10-09 ,71.57,71.91,47.58
2021-10-10 ,67.02,79.29,52.26
2021-10-11 ,72.56,75.07,50.05
2021-10-12 ,72.29,76.94,35.66
2021-10-13 ,71.31,67.2,46.64
2021-10-14 ,74.75,72.73,47.5
2021-10-15 ,57.0,73.48,57.0
2021-10-16 ,61.72,81.29,42.28
2021-10-17 ,71.76,77.34,39.29
2021-10-18 ,70.0,69.48,41.0
2021-10-19 ,46.0,74.32,47.0
2021-10-20 ,56.0,70.77,49.0
2021-10-21 ,70.0,63.5,39.0
2021-10-22 ,67.16,81.95,64.95
2021-10-23 ,65.91,84.37,37.29
2021-10-25 ,57.96,74.66,49.7
2021-10-26 ,76.62,74.34,52.48
2021-10-27 ,70.0,69.42,43.0
2021-10-28 ,60.33,74.62,40.0
2021-10-29 ,71.1,86.21,52.79
2021-10-30 ,70.0,77.42,42.23
2021-10-31 ,70.0,79.37,45.55
2021-11-01 ,61.0,82.8,65.0
2021-11-02 ,73.0,76.13,63.0
2021-11-05 ,72.22,74.82,51.67
2021-11-06 ,66.97,72.96,58.82
2021-11-07 ,72.85,73.59,48.12
2021-11-08 ,74.01,79.84,47.6
2021-11-09 ,59.9,83.65,42.42
2021-11-10 ,71.25,71.74,53.09
2021-11-11 ,64.0,69.28,45.0
2021-11-12 ,70.0,76.15,31.0
2021-11-13 ,67.95,80.92,46.63
2021-11-15 ,74.36,80.93,59.24
2021-11-16 ,65.09,79.16,36.77
2021-11-17 ,56.79,74.74,50.08
2021-11-18 ,60.38,74.67,36.18
2021-11-19 ,70.0,87.91,42.91
2021-11-20 ,62.42,77.62,46.07
2021-11-21 ,70.0,68.67,46.0
2021-11-22 ,73.0,80.77,68.0
2021-11-23 ,72.2,83.57,50.35
2021-11-24 ,69.0,81.65,55.0
2021-11-25 ,71.48,75.83,39.56
2021-11-26 ,70.0,84.79,60.0
2021-11-27 ,74.6,81.72,50.6
2021-11-28 ,62.0,78.95,55.0
2021-11-29 ,67.23,80.79,50.23
2021-11-30 ,67.16,76.18,43.74
2021-12-01 ,72.77,74.98,51.11
2021-12-02 ,61.31,74.51,48.9
2021-12-03 ,70.0,76.06,41.0
