com.samsung.shealth.exercise.weather,6201005,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,0,2016-04-20 08:35:04.831,35.946274,,남. 180.0,화창,0,0,AccuWeather,2016-04-20 08:35:04.849,2016-04-20 08:35:04.849,1,128.4165,70.0,26,UTC+0900,wakAfCXJCw,da763725-0355-4d53-be03-0acc7a292115,com.sec.android.app.shealth,mi/h,0,5.8,1,f3d48583-030e-4bd8-8856-c14fed250890,
0.0,0,2016-12-26 09:26:25.597,36.34705,,북. 0.0,비,0,0,AccuWeather,2016-12-26 09:26:25.601,2016-12-26 09:26:25.601,1,127.41126,36.0,96,UTC+0900,wakAfCXJCw,673897a9-0efe-4194-b767-c0fb070edd8c,com.sec.android.app.shealth,mi/h,0,0.0,7,a5ebfd09-194c-41ba-a7ac-16a48cf91e1e,
0.0,0,2016-06-15 01:45:59.534,36.373993,,남서. 225.0,흐림,0,0,AccuWeather,2016-06-15 01:45:59.553,2016-06-15 01:45:59.553,1,127.393196,75.0,47,UTC+0900,wakAfCXJCw,751dd96b-daa8-4673-8b23-c259015b1fb0,com.sec.android.app.shealth,mi/h,0,5.2,20,14cadac7-d52e-4011-9b3f-30c5883dc357,
0.0,0,2017-01-01 02:36:24.493,36.33202,,동남동. 113.0,대체로 흐림,0,0,AccuWeather,2017-01-01 02:36:24.513,2017-01-01 02:36:24.513,1,127.43562,38.0,83,UTC+0900,wakAfCXJCw,ac8b6785-d39a-48d5-9aee-713982f1b705,com.sec.android.app.shealth,mi/h,0,3.9,20,0a18b694-f318-46b2-b3fe-d2b9da24fae4,
0.0,0,2016-11-04 01:15:03.309,36.321735,,북. 0.0,화창,0,0,AccuWeather,2016-11-04 01:15:03.316,2016-11-04 01:15:03.316,1,127.41373,42.0,88,UTC+0900,wakAfCXJCw,bf5b21c6-33f2-4fb2-b2ce-a8229cece95d,com.sec.android.app.shealth,mi/h,0,1.2,1,5bb95ba4-0e5e-4c84-8fda-ed4a89eb485f,
0.0,0,2017-01-04 02:09:57.453,36.34946,,동북동. 68.0,흐림,0,0,AccuWeather,2017-01-04 02:09:57.458,2017-01-04 02:09:57.458,1,127.40296,38.0,86,UTC+0900,wakAfCXJCw,14a420fd-57b4-4294-90ce-668e313fbda1,com.sec.android.app.shealth,mi/h,0,2.3,20,20ad54f4-a7a9-4e69-868f-a9b30779e447,
0.0,0,2016-12-02 03:55:02.133,36.31879,,북동. 45.0,화창,0,0,AccuWeather,2016-12-02 03:55:02.139,2016-12-02 03:55:02.139,1,127.45176,42.0,47,UTC+0900,wakAfCXJCw,ec6e2814-0158-42fc-bb72-e9e12e5db447,com.sec.android.app.shealth,mi/h,0,3.5,1,9697c57d-5725-4926-80f3-79e076c418d6,
0.0,0,2017-01-12 02:59:03.597,36.338505,,서북서. 293.0,일부 화창,0,0,AccuWeather,2017-01-12 02:59:03.599,2017-01-12 02:59:03.599,1,127.41498,37.0,71,UTC+0900,wakAfCXJCw,d3441618-20f3-455c-a804-330f4e9f4e56,com.sec.android.app.shealth,mi/h,0,8.3,4,aa137d9b-4a05-43af-ade8-95fc668bf300,
0.0,0,2016-12-07 01:38:53.889,36.336014,,서. 270.0,흐림,0,0,AccuWeather,2016-12-07 01:38:53.904,2016-12-07 01:38:53.904,1,127.41012,37.0,73,UTC+0900,wakAfCXJCw,c3ce53b3-0810-4279-b063-cfe020dd6640,com.sec.android.app.shealth,mi/h,0,3.8,20,76b06142-6f11-480b-859e-320b02ac3c92,
0.0,0,2017-01-14 11:06:32.270,36.344425,,북서. 315.0,맑음,0,0,AccuWeather,2017-01-14 11:06:32.300,2017-01-14 11:06:32.300,1,127.416145,22.0,38,UTC+0900,wakAfCXJCw,251b923c-08cd-4bf7-9095-668079db7e66,com.sec.android.app.shealth,mi/h,0,15.4,10,69f4d874-afe3-45bc-beb0-e07c3d19e99d,
0.0,0,2017-01-22 01:54:39.153,36.333023,,북서. 315.0,흐림,0,0,AccuWeather,2017-01-22 01:54:39.190,2017-01-22 01:54:39.190,1,127.43128,24.0,60,UTC+0900,wakAfCXJCw,1f661f19-dc6e-4ad6-9026-4a45386c2854,com.sec.android.app.shealth,mi/h,0,12.5,20,b3351a61-c7ab-458d-8364-9e2e1d25f703,
0.0,0,2016-12-09 02:42:59.223,36.34092,,북서. 315.0,구름과 해,0,0,AccuWeather,2016-12-09 02:42:59.226,2016-12-09 02:42:59.226,1,127.414474,43.0,66,UTC+0900,wakAfCXJCw,7d082e4b-e08b-4b8e-8e9a-a7a20644e601,com.sec.android.app.shealth,mi/h,0,13.4,4,5b29647e-094d-4c7d-968e-8f2727a8da9a,
0.0,0,2016-12-13 02:11:40.712,36.3523,,북북동. 23.0,뿌연 햇빛,0,0,AccuWeather,2016-12-13 02:11:40.724,2016-12-13 02:11:40.724,1,127.401375,41.0,74,UTC+0900,wakAfCXJCw,13e24315-150d-4691-a72a-b4f1b81a49fb,com.sec.android.app.shealth,mi/h,0,3.9,4,5f0ec896-0b49-49eb-b51b-34247ffc6ed7,
0.0,0,2017-02-04 05:15:02.285,36.340717,,북서. 315.0,대체로 흐림,0,0,AccuWeather,2017-02-04 05:15:02.327,2017-02-04 05:15:02.327,1,127.4259,46.0,31,UTC+0900,wakAfCXJCw,3834f88b-2027-4f4b-8aba-a50c9dc834a5,com.sec.android.app.shealth,mi/h,0,1.0,20,349f7c4e-f167-49ab-bee3-d41ced15116b,
0.0,0,2016-12-23 09:56:29.969,36.342934,,북서. 315.0,대체로 흐림,0,0,AccuWeather,2016-12-23 09:56:29.984,2016-12-23 09:56:29.984,1,127.41694,33.0,74,UTC+0900,wakAfCXJCw,586909d7-9d93-4530-8fb6-5828b1ff4dbf,com.sec.android.app.shealth,mi/h,0,4.6,20,90c30ad6-9cfb-46cd-8272-ba2e6b2acdc3,
