Date,Step Count,Speed (m/s),Distance,Greater than 10K steps
2020-03-17 ,4452007,1.46,3389385.47,Yes
2020-03-18 ,7308,7.74,5661.37,No
2020-03-19 ,6790,3.52,4949.22,No
2020-03-20 ,5391,1.81,3919.49,No
2020-03-21 ,4633,1.66,3400.29,No
2020-03-22 ,8183,1.58,5912.88,No
2020-03-23 ,5566,1.65,4084.57,No
2020-03-24 ,7700,2.07,5679.91,No
2020-03-25 ,11654,2.19,8584.24,Yes
2020-03-26 ,6422,1.69,4659.17,No
2020-03-27 ,5136,1.59,3761.29,No
2020-03-28 ,5294,2.83,3976.73,No
2020-03-29 ,10171,2.72,7276.66,Yes
2020-03-30 ,5664,1.86,4220.04,No
2020-03-31 ,9228,1.61,6798.66,No
2020-04-01 ,4185,1.54,3083.89,No
2020-04-02 ,5575,1.94,4164.36,No
2020-04-03 ,6661,1.72,4911.47,No
2020-04-04 ,3323,1.5,2422.97,No
2020-04-05 ,14097,1.61,9104.44,Yes
2020-04-06 ,8272,2.14,5980.19,No
2020-04-07 ,9783,4.17,7024.94,No
2020-04-08 ,3125,1.77,2276.03,No
2020-04-09 ,3514,1.53,2544.44,No
2020-04-10 ,6048,2.77,4383.69,No
2020-04-11 ,10949,1.44,7984.86,Yes
2020-04-12 ,1336,1.47,976.5,No
2020-04-13 ,6368,1.75,4668.89,No
2020-04-14 ,4822,1.64,3543.47,No
2020-04-15 ,4393,1.43,3208.62,No
2020-04-16 ,10245,1.89,7466.12,Yes
2020-04-17 ,7201,1.65,5277.79,No
2020-04-18 ,2903,1.87,2149.45,No
2020-04-19 ,12162,1.47,8918.06,Yes
2020-04-20 ,6591,2.06,4850.87,No
2020-04-21 ,8565,1.62,6278.48,No
2020-04-22 ,5894,1.63,4371.37,No
2020-04-24 ,3802,1.69,2804.99,No
2020-04-25 ,2170,1.39,1563.09,No
2020-04-26 ,15114,2.81,10945.89,Yes
2020-04-27 ,5791,2.72,4352.91,No
2020-04-28 ,7024,1.84,5204.09,No
2020-04-30 ,1551,1.42,1152.42,No
2020-05-01 ,1990,1.72,1468.54,No
2020-05-02 ,2625,2.75,2020.26,No
2020-05-03 ,7232,1.58,5267.3,No
2020-05-04 ,5814,1.81,4363.71,No
2020-05-05 ,13699,1.67,9755.42,Yes
2020-05-06 ,4023,2.28,2995.31,No
2020-05-08 ,4134,1.83,3059.23,No
2020-05-09 ,3440,1.5,2556.32,No
2020-05-10 ,9786,1.64,6679.25,No
2020-05-11 ,6754,1.75,4944.39,No
2020-05-13 ,3116,2.54,2287.74,No
2020-05-14 ,7290,1.83,5448.76,No
2020-05-16 ,3914,1.53,2879.33,No
2020-05-18 ,8010,2.11,5826.74,No
2020-05-19 ,8312,1.78,5811.93,No
2020-05-20 ,4496,1.5,3236.2,No
2020-05-21 ,3578,1.55,2627.83,No
2020-05-22 ,5195,1.83,3852.72,No
2020-05-23 ,2369,6.94,1808.01,No
2020-05-24 ,13300,2.22,9763.36,Yes
2020-05-26 ,5072,2.66,3684.13,No
2020-05-27 ,6305,1.79,4620.79,No
2020-05-28 ,3851,1.89,2801.39,No
2020-05-29 ,4276,6.94,3251.43,No
2020-05-30 ,12459,2.64,8626.46,Yes
2020-06-01 ,6018,3.47,4360.83,No
2020-06-03 ,4700,2.25,3441.86,No
2020-06-04 ,4719,2.62,3503.01,No
2020-06-05 ,4495,1.64,3301.0,No
2020-06-07 ,3058,1.58,2207.61,No
2020-06-09 ,3688,1.78,2669.16,No
2020-06-10 ,4980,1.81,3665.33,No
2020-06-11 ,6792,1.86,5001.98,No
2020-06-12 ,4713,1.84,3452.77,No
2020-06-13 ,4464,1.81,3406.8,No
2020-06-15 ,3420,1.82,2520.09,No
2020-06-16 ,4298,1.81,3126.3,No
2020-06-17 ,9282,2.08,6490.11,No
2020-06-18 ,4099,1.7,3007.03,No
2020-06-19 ,4406,2.31,3224.78,No
2020-06-20 ,5106,3.52,3861.56,No
2020-06-21 ,1437,1.67,1074.74,No
2020-06-22 ,2178,1.72,1640.46,No
2020-06-23 ,3273,2.94,2434.92,No
2020-06-24 ,5379,4.92,4025.51,No
2020-06-25 ,5499,1.98,4087.36,No
2020-06-26 ,3348,1.64,2486.01,No
2020-06-27 ,7564,1.39,5372.69,No
2020-06-28 ,6840,1.79,4979.82,No
2020-06-29 ,3494,1.97,2561.57,No
2020-06-30 ,5245,2.0,3812.59,No
2020-07-02 ,3128,1.85,2301.7,No
2020-07-03 ,3595,2.64,2651.15,No
2020-07-04 ,2014,1.67,1480.97,No
2020-07-05 ,205,1.53,155.24,No
2020-07-06 ,5173,1.94,3749.68,No
2020-07-07 ,5805,1.69,4214.26,No
2020-07-08 ,8124,1.56,5762.86,No
2020-07-09 ,3749,1.68,2739.85,No
2020-07-10 ,5984,3.08,4361.65,No
2020-07-11 ,7350,1.17,5336.26,No
2020-07-13 ,3477,1.18,2544.23,No
2020-07-14 ,5363,1.14,3908.81,No
2020-07-15 ,4228,1.21,3058.49,No
2020-07-16 ,6152,1.18,4568.56,No
2020-07-17 ,3246,1.14,2360.67,No
2020-07-18 ,2841,1.12,2108.33,No
