com.samsung.shealth.food_favorite,6196009,1
amount,food_type,update_time,create_time,name,unit,favoriteid,calorie,deviceuuid,pkg_name,datauuid,food_info_id
1.0,1,2021-07-03 02:42:29.113,2021-07-03 02:42:29.113,아침,120001,3492951d-7241-442f-9867-09fa96ae4aa3,310.0,Jxx4Glzrrb,com.sec.android.app.shealth,a7a0643f-c5be-41e4-ae46-e27f806627a4,42afa23d-8181-4513-894f-d9f42449a0d1,
1.0,1,2021-07-03 02:42:29.113,2021-07-03 02:42:29.113,아침,120001,3492951d-7241-442f-9867-09fa96ae4aa3,210.0,Jxx4Glzrrb,com.sec.android.app.shealth,3f5c0124-d405-4507-9740-d48861db240f,1b02167a-03c9-4411-9b8b-fbe194f23251,
0.0,2,2021-07-08 04:25:19.264,2021-07-08 04:25:19.264,44ad36f6-ecc4-4a27-9d38-ef1d4add5e79,,44ad36f6-ecc4-4a27-9d38-ef1d4add5e79,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,0676e67d-26d6-4fdb-b163-d3080ed60d53,449934b1-5d67-4f73-9003-5410a035e16d,
0.0,2,2021-07-08 04:25:19.264,2021-07-08 04:25:19.264,44ad36f6-ecc4-4a27-9d38-ef1d4add5e79,,44ad36f6-ecc4-4a27-9d38-ef1d4add5e79,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,9773874b-6cfa-4f7b-81f8-c89d3182227e,42afa23d-8181-4513-894f-d9f42449a0d1,
2.0,1,2021-07-08 04:29:23.826,2021-07-08 04:29:23.826,점심 외식 매운탕,120001,5402e609-e511-44e5-b3e9-310eb38f9baf,358.0,Jxx4Glzrrb,com.sec.android.app.shealth,0b8a6024-8be8-41cf-99d4-3034450281a1,686ab5cf-9166-44e3-9991-c226cb57b740,
1.0,1,2021-07-08 04:28:10.245,2021-07-08 04:28:10.245,메기매운탕,120001,38ff1b02-42e0-4290-aa61-1f375ceec2a2,179.0,Jxx4Glzrrb,com.sec.android.app.shealth,bcdaab7c-a0a1-49aa-92ee-1495c07b0a94,686ab5cf-9166-44e3-9991-c226cb57b740,
0.0,2,2021-08-15 11:24:29.695,2021-08-15 11:24:29.695,284c98e5-7874-4ede-b975-18839bca7862,,284c98e5-7874-4ede-b975-18839bca7862,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,998656ad-3f4f-4fbd-b758-3107721c70b3,64aca6be-5808-4ff4-a6fa-fa1c44042bcc,
0.0,2,2021-08-15 11:24:29.695,2021-08-15 11:24:29.695,284c98e5-7874-4ede-b975-18839bca7862,,284c98e5-7874-4ede-b975-18839bca7862,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,5777817b-e4aa-4908-8466-bbc473ef3d8d,4d874037-4553-4389-8e06-c99831c9cc4b,
80.04028,1,2021-07-03 02:42:29.114,2021-07-03 02:42:29.114,아침,120002,3492951d-7241-442f-9867-09fa96ae4aa3,452.0,Jxx4Glzrrb,com.sec.android.app.shealth,120a71e4-a315-4755-ab31-908e065f487f,0a837969-f8fb-4793-8847-512d1c58c87c,
0.0,2,2021-07-03 02:42:35.227,2021-07-03 02:42:35.227,2eadfc83-467f-4829-83b8-48a8e4942427,,2eadfc83-467f-4829-83b8-48a8e4942427,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,8fbf5232-62fd-47f5-8dc2-84557f5d0cd4,42afa23d-8181-4513-894f-d9f42449a0d1,
1.0,1,2021-07-08 04:26:22.165,2021-07-08 04:26:22.165,점심,120001,fc5cc49e-f7c4-4bc5-9979-1f85e1b9ebd2,785.0,Jxx4Glzrrb,com.sec.android.app.shealth,18878059-4af5-4fce-a147-9ead803b7e29,ed127790-a457-4a9a-a408-ddf89e4cb5dc,
1.0,1,2021-07-08 04:26:22.166,2021-07-08 04:26:22.166,점심,120001,fc5cc49e-f7c4-4bc5-9979-1f85e1b9ebd2,591.0,Jxx4Glzrrb,com.sec.android.app.shealth,203498c8-2858-419e-9a6f-2fb5177417ed,71ec97da-a328-4017-8542-07a4333cfc14,
0.0,2,2021-07-08 04:29:28.635,2021-07-08 04:29:28.635,1bda7d30-b243-4cb7-96ca-892dab712905,,1bda7d30-b243-4cb7-96ca-892dab712905,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,69ffeb2b-8986-46cf-a11d-8ff508b4b14f,686ab5cf-9166-44e3-9991-c226cb57b740,
1.0,1,2021-07-08 04:30:29.527,2021-07-08 04:30:29.527,저녁 외식 설렁탕,120001,1822b420-265a-4e58-8b93-5eb8b736eb2e,424.0,Jxx4Glzrrb,com.sec.android.app.shealth,c88883b9-a0ed-4dcb-8b72-6ace40f4475a,e14bb790-bc82-4441-9a4d-73681a7a2531,
1.0,3,2021-08-15 11:26:11.119,2021-08-15 11:26:11.119,무우김치,120001,0cc82040-05a4-4079-abcb-1c3512d44904,50.0,Jxx4Glzrrb,com.sec.android.app.shealth,59a2361e-b67e-4e2d-9f15-92b12177f32d,fd8aa6c5-dcc4-4370-aabd-2e6d9536d474,
0.0,2,2021-08-15 11:26:26.855,2021-08-15 11:26:26.855,2e9ccaa0-cc0e-4ece-84f1-803470f039e5,,2e9ccaa0-cc0e-4ece-84f1-803470f039e5,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,0c76d3bf-ade0-4963-9298-44e237e143b6,3e490349-d073-4c2d-8e4e-d9bec0c2556f,
0.0,2,2021-07-03 02:42:35.227,2021-07-03 02:42:35.227,2eadfc83-467f-4829-83b8-48a8e4942427,,2eadfc83-467f-4829-83b8-48a8e4942427,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,5538b73b-2dd2-4e90-9b9d-663cd0ddb5f5,1b02167a-03c9-4411-9b8b-fbe194f23251,
0.0,2,2021-07-03 02:42:35.228,2021-07-03 02:42:35.228,2eadfc83-467f-4829-83b8-48a8e4942427,,2eadfc83-467f-4829-83b8-48a8e4942427,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,076a85a4-b2b2-4bda-9e04-83520121a7e1,0a837969-f8fb-4793-8847-512d1c58c87c,
0.0,2,2021-07-08 04:26:30.769,2021-07-08 04:26:30.769,5825bd1f-1cff-448c-8059-6f3d4eb50cca,,5825bd1f-1cff-448c-8059-6f3d4eb50cca,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,6b5a9ef2-bf2d-4ae5-984d-a025ff646e60,ed127790-a457-4a9a-a408-ddf89e4cb5dc,
0.0,2,2021-07-08 04:26:30.769,2021-07-08 04:26:30.769,5825bd1f-1cff-448c-8059-6f3d4eb50cca,,5825bd1f-1cff-448c-8059-6f3d4eb50cca,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,5b421c12-9d30-4c18-be62-3b8e0235b072,71ec97da-a328-4017-8542-07a4333cfc14,
0.0,2,2021-07-08 04:30:32.470,2021-07-08 04:30:32.470,fe0b01c0-e929-4d45-b12d-0a4bba08b64b,,fe0b01c0-e929-4d45-b12d-0a4bba08b64b,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,27393276-5e1b-4c1f-99ec-336513b7179a,e14bb790-bc82-4441-9a4d-73681a7a2531,
0.0,2,2021-08-15 11:24:29.695,2021-08-15 11:24:29.695,284c98e5-7874-4ede-b975-18839bca7862,,284c98e5-7874-4ede-b975-18839bca7862,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,7959152c-b736-415d-82e1-f7b32d8a3ad0,42afa23d-8181-4513-894f-d9f42449a0d1,
0.0,2,2021-08-15 11:26:26.855,2021-08-15 11:26:26.855,2e9ccaa0-cc0e-4ece-84f1-803470f039e5,,2e9ccaa0-cc0e-4ece-84f1-803470f039e5,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,b9239e4e-6a1a-432d-8c4e-dca2e387f49c,fd8aa6c5-dcc4-4370-aabd-2e6d9536d474,
0.0,2,2021-08-29 02:30:06.502,2021-08-29 02:30:06.502,dd0b9cce-2c8b-43de-a6f7-b1a7cdd3393e,,dd0b9cce-2c8b-43de-a6f7-b1a7cdd3393e,0.0,Jxx4Glzrrb,com.sec.android.app.shealth,25b9c006-ba2f-4234-b335-393f94820167,ee993ba5-a433-42f0-89ee-c17f74a5b317,
