com.samsung.shealth.activity.day_summary,6196009,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
0,0,,0,2021-07-08 05:57:52.504,2021-07-08 05:57:52.504,-1,0,0,0.0,0.0,94572ad8-89f8-4449-ba18-cfbad9479fd2.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,94572ad8-89f8-4449-ba18-cfbad9479fd2,1625011200000,
0,0,,0,2021-07-08 05:57:52.751,2021-07-08 05:57:52.751,-1,0,0,0.0,0.0,81acda19-62fe-4f53-85a2-8e041cc05db5.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,81acda19-62fe-4f53-85a2-8e041cc05db5,1625270400000,
0,0,,0,2021-07-08 05:57:52.937,2021-07-08 05:57:52.937,-1,0,0,0.0,0.0,b30b79de-c6bf-4040-91dd-f836a8bedbbf.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,b30b79de-c6bf-4040-91dd-f836a8bedbbf,1625529600000,
0,0,,0,2021-07-08 05:57:53.017,2021-07-08 05:57:53.017,-1,0,0,0.0,0.0,abcf7d87-522e-4085-b5d4-40c57d8485cb.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,abcf7d87-522e-4085-b5d4-40c57d8485cb,1625616000000,
4791,6267036,90,3700000,2021-07-31 15:51:13.158,2021-07-09 15:00:00.589,60,1357000,114,3111.9868,411.74866,9485b994-8add-4294-b50c-489cf0b88f72.extra_data.json,QyB8D3zs1J,11200,com.sec.android.app.shealth,2555836,19140000,9485b994-8add-4294-b50c-489cf0b88f72,1625875200000,
5380,4175473,90,910000,2021-08-08 14:44:02.808,2021-07-12 15:00:00.434,60,910000,76,3958.962,246.87354,43498392-b518-4c4e-83cf-f837e4069d54.extra_data.json,QyB8D3zs1J,7900,com.sec.android.app.shealth,3257573,14280000,43498392-b518-4c4e-83cf-f837e4069d54,1626134400000,
0,0,,0,2021-07-08 05:58:04.654,2021-07-08 05:58:04.654,-1,0,0,0.0,0.0,0ef4ad50-e0a5-4a9e-8250-d49f127f0a1a.extra_data.json,QyB8D3zs1J,0,com.sec.android.app.shealth,0,-1,0ef4ad50-e0a5-4a9e-8250-d49f127f0a1a,1625097600000,
2060,1293354,90,0,2021-07-31 15:51:13.779,2021-07-15 15:00:00.527,60,60000,23,1650.856,69.98807,b0c0f000-69ba-4532-9f2f-5e7a7d00b20c.extra_data.json,QyB8D3zs1J,4800,com.sec.android.app.shealth,1288554,15960000,b0c0f000-69ba-4532-9f2f-5e7a7d00b20c,1626393600000,
2942,1754321,90,0,2021-08-15 14:11:02.651,2021-07-18 15:00:01.192,60,240000,32,2305.419,102.16193,e1951411-61cd-4cfe-8fe4-92bbf49bf7a7.extra_data.json,QyB8D3zs1J,10073,com.sec.android.app.shealth,1744248,14820000,e1951411-61cd-4cfe-8fe4-92bbf49bf7a7,1626652800000,
1551,969031,90,0,2021-07-31 15:51:13.345,2021-07-11 15:00:00.490,60,240000,17,1222.1064,54.095444,5d19559d-ea4e-4b33-9e85-f71cc6d20f76.extra_data.json,QyB8D3zs1J,2961,com.sec.android.app.shealth,966070,19080000,5d19559d-ea4e-4b33-9e85-f71cc6d20f76,1626048000000,
