com.samsung.health.food_info,6196009,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
293.0,0.0,0.0,,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2021-07-08 05:57:52.112,2021-07-08 05:57:52.112,0.0,6.84,0.0,1.0,현미밥,0.0,,5.0,315.0,인분,,QyB8D3zs1J,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,76aa36fc-ee43-41d0-b651-93ae7533dd4a,1,
83.0,1.0,0.0,,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2021-07-08 05:57:52.103,2021-07-08 05:57:52.103,0.0,5.13,0.0,1.0,쌀밥,0.0,,5.0,316.8,인분,,QyB8D3zs1J,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,e924738d-f80a-4c61-863c-a8ce9b876cb8,1,
180.0,29.0,8.0,,0.0,"11 kcal, 60 g당",,samsungosp-141008,60,688.0,1.8,0.3,2021-07-08 06:14:02.273,2021-07-08 05:57:52.117,0.0,1.2,0.0,0.0,배추김치,0.0,,28.0,10.8,인분,,QyB8D3zs1J,g,0.0,0.0,com.sec.android.app.shealth,2.3,5.5555553,dffdc3df-d3aa-4ba0-b6b1-ccd233542006,1,
380.0,7.0,10.0,,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2021-07-08 05:57:52.134,2021-07-08 05:57:52.134,0.0,1.2,0.0,1.0,바나나,0.0,,4.0,80.0,인분,,QyB8D3zs1J,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,a1153985-8ab2-47ba-99f5-f7acf027ce14,1,
60.0,0.0,0.0,,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2021-07-08 05:57:52.142,2021-07-08 05:57:52.142,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,,2.0,3.0,인분,,QyB8D3zs1J,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,31c3d258-f3fc-4536-a950-6a95c2546d86,1,
296.0,56.0,2.0,,22.0,"120 kcal, 200 g당",,samsungosp-191005,200,110.0,0.0,6.4,2021-07-08 05:57:52.146,2021-07-08 05:57:52.146,1.82,6.4,0.22,0.0,우유,0.0,,210.0,120.0,인분,,QyB8D3zs1J,g,4.34,0.0,com.sec.android.app.shealth,9.4,1.6666666,b6422881-599b-4c30-965a-43b635eff4be,1,
807.0,31.0,8.0,0.0,124.0,"2442 kcal, 2095g당",,fatsecret-5203508,400,1365.0,2.1,31.26,2021-08-15 13:07:22.635,2021-07-08 12:16:02.085,13.584,33.29,2.499,25.0,갈비탕,2.4,,5.0,466.0,인분 (400 g),,QyB8D3zs1J,g,12.422,,com.sec.android.app.shealth,11.63,0.8583691,6477d3fe-f1ff-4578-b6ec-a22ede9b7144,1,
,0.0,0.0,0.0,10.0,"90 kcal, 1컵 (85g)당",,fatsecret-10390265,85,50.0,,2.4,2021-11-29 08:55:59.517,2021-07-08 12:22:05.389,,3.0,,0.0,떠먹는 불가리스(딸기)(불가리스),10.0,,0.0,80.0,인분,,QyB8D3zs1J,g,1.4,0.0,com.sec.android.app.shealth,11.0,1.0625,44b0948c-5a99-4675-9ce2-23d598841cae,1,
,0.0,0.0,0.0,,"90 kcal, 1인분 (25g)당",,fatsecret-5503798,25,0.0,,0.0,2021-07-08 12:22:25.579,2021-07-08 12:22:05.391,,0.0,,0.0,옛날 당면(오뚜기),0.0,,0.0,90.0,인분,,QyB8D3zs1J,g,,,com.sec.android.app.shealth,22.0,0.2777778,8a10f227-eabe-4530-b6d5-fe0a68642720,1,
,0.0,0.0,0.0,0.0,"315 kcal, 1개 (210g)당",,fatsecret-39505035,210,0.0,,1.4,2021-07-10 12:02:04.065,2021-07-09 06:15:58.875,,5.0,,0.0,우리쌀밥 한공기(노브랜드),0.0,,0.0,315.0,인분,,QyB8D3zs1J,g,0.0,0.0,com.sec.android.app.shealth,71.0,0.6666667,7c542184-cefa-4204-9d97-f6e504c3e617,1,
385.0,159.0,1.0,,240.0,"515 kcal, 169 g당",,samsungosp-031004,169,1252.0,3.66,20.599,2021-07-08 05:57:52.121,2021-07-08 05:57:52.121,2.19,15.992,0.8,2.0,라면,0.0,,42.0,515.0,인분,,QyB8D3zs1J,g,1.57,0.0,com.sec.android.app.shealth,73.9,0.32815534,640a4381-7df3-4e27-bf05-f32eed90fabd,1,
98.0,8.333333,20.777779,0.0,0.0,"42 kcal, 190g당",,fatsecret-5078583,38,245.0,0.5,0.12,2021-12-03 11:51:56.846,2021-07-09 06:15:58.878,0.017,0.66,0.056,1.8888888,배추김치,0.7,,2.8461537,8.0,인분 (38 g),,QyB8D3zs1J,g,0.018,,com.sec.android.app.shealth,1.58,4.6153846,77972642-9625-4c4d-8cb7-2e827372efe5,1,
