com.samsung.shealth.tracker.pedometer_step_count,6196009,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
8110,4,0,15,2021-10-24 16:32:00.000,,,2021-10-24 16:32:10.108,2021-10-24 16:32:03.315,15,1.4152216,11.478516,0.04851532,UTC+0900,QyB8D3zs1J,com.sec.android.app.shealth,2021-10-24 16:33:00.000,3c5591dc-be67-4033-87de-2e2b058b2bdc,
3804,4,0,6,2021-10-24 21:20:00.000,,,2021-10-24 21:20:43.452,2021-10-24 21:20:43.452,6,1.1739813,4.466797,0.01964569,UTC+0900,QyB8D3zs1J,com.sec.android.app.shealth,2021-10-24 21:21:00.000,4be7c199-c605-4724-974b-87d17be4db33,
9270,4,0,13,2021-10-24 16:31:00.000,,,2021-10-24 16:31:29.444,2021-10-24 16:31:29.444,13,1.0386488,9.628906,0.042686462,UTC+0900,QyB8D3zs1J,com.sec.android.app.shealth,2021-10-24 16:32:00.000,b486e777-a8f4-4fec-a9cd-c0b7d2cb9595,
4474,4,0,9,2021-10-25 06:04:00.000,,,2021-10-25 06:04:16.719,2021-10-25 06:04:14.900,9,1.5224993,6.8125,0.02936554,UTC+0900,QyB8D3zs1J,com.sec.android.app.shealth,2021-10-25 06:05:00.000,15d75f87-7855-48f4-8d93-52ab87cafcee,
12969,4,0,19,2021-10-25 07:48:00.000,,,2021-10-25 07:48:55.349,2021-10-25 07:48:42.840,19,1.0600368,13.748047,0.063705444,UTC+0900,QyB8D3zs1J,com.sec.android.app.shealth,2021-10-25 07:49:00.000,8e4bfb73-cbc8-40fa-a270-0ef3c1db660b,
,,0,6,2021-10-25 16:29:00.000,,,2021-10-25 21:00:12.000,2021-10-25 16:29:59.000,6,0.07281901,4.3691406,0.21691895,UTC+0900,3IGv5P20p2,com.sec.android.app.shealth,2021-10-25 16:29:59.000,69385281-5e2a-2496-4ec5-8c0f8b0ebe78,
10801,4,0,15,2021-10-25 21:40:00.000,,,2021-10-25 21:41:15.191,2021-10-25 21:40:38.010,15,1.0760719,11.623209,0.048606746,UTC+0900,QyB8D3zs1J,com.sec.android.app.shealth,2021-10-25 21:41:00.000,e6e19f9a-6e2d-4eba-92b1-2e5aa95c71ed,
6275,4,0,10,2021-10-25 04:33:00.000,,,2021-10-25 04:33:14.994,2021-10-25 04:33:14.994,10,1.1833655,7.4257812,0.03276825,UTC+0900,QyB8D3zs1J,com.sec.android.app.shealth,2021-10-25 04:34:00.000,5b540959-be57-4ed7-ab28-75b3f1f9b78a,
,,0,21,2021-10-25 21:40:00.000,,,2021-10-25 21:41:01.000,2021-10-25 21:40:59.000,21,0.26850587,16.110352,0.73809814,UTC+0900,3IGv5P20p2,com.sec.android.app.shealth,2021-10-25 21:40:59.000,5ba35a02-0f89-f1ec-0345-9fd9b73cf50a,
3804,4,0,8,2021-10-24 22:51:00.000,,,2021-10-24 22:51:54.822,2021-10-24 22:51:53.605,8,1.6203945,6.1640625,0.026000977,UTC+0900,QyB8D3zs1J,com.sec.android.app.shealth,2021-10-24 22:52:00.000,abe0a592-db80-4f1a-8aee-5ef7ab96bb55,
