com.samsung.health.nutrition,6196009,3
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,start_time,custom,sodium,dietary_fiber,total_fat,update_time,create_time,meal_type,monosaturated_fat,protein,polysaturated_fat,iron,sugar,title,added_sugar,calcium,calorie,time_offset,deviceuuid,saturated_fat,trans_fat,pkg_name,carbohydrate,datauuid
800.7,289.0,35.2,,182.4,2021-07-08 06:13:05.178,,1526.8,6.1,5.0,2021-07-08 06:14:02.537,2021-07-08 06:14:02.537,100002,1.0,23.1,1.6,2.5,0.0,점심,,79.0,458.0,UTC+0900,QyB8D3zs1J,0.5,0.0,com.sec.android.app.shealth,80.8,83abb4e5-9235-4415-932c-e403e86e4c95,
1151.0,41.0,53.0,0.0,282.0,2021-07-10 04:17:07.830,,2128.0,7.4,31.1,2021-07-10 06:47:40.464,2021-07-10 06:36:09.527,100002,12.3,39.3,6.5,32.0,18.2,점심,0.0,13.0,952.0,UTC+0900,QyB8D3zs1J,8.5,0.0,com.sec.android.app.shealth,128.3,f0ad15a2-d0b2-4a70-8083-1569e22a2534,
1346.0,59.0,36.0,0.0,64.0,2021-07-12 11:06:00.000,,674.0,11.2,22.4,2021-07-12 14:12:31.311,2021-07-12 14:12:31.311,100003,8.1,34.4,4.7,36.0,18.6,저녁,0.0,11.0,996.0,UTC+0900,QyB8D3zs1J,6.5,0.0,com.sec.android.app.shealth,167.6,be131dea-c6a7-4a14-ad02-c6ed8ca2bab1,
836.0,31.0,8.0,0.0,131.0,2021-07-08 12:13:29.128,,1545.0,2.7,34.4,2021-07-08 12:22:25.703,2021-07-08 12:16:02.240,100003,13.6,38.1,2.8,29.0,15.4,저녁,0.0,7.0,710.0,UTC+0900,QyB8D3zs1J,14.2,0.0,com.sec.android.app.shealth,59.5,d2a16745-6449-454f-a702-36728a5833f2,
163.0,4.0,0.0,0.0,73.0,2021-07-14 09:48:01.361,,266.0,0.3,14.8,2021-07-14 09:48:01.364,2021-07-14 09:46:41.252,100006,6.1,19.1,3.7,7.0,11.1,저녁 간식,0.0,1.0,294.0,UTC+0900,QyB8D3zs1J,3.7,0.0,com.sec.android.app.shealth,19.5,7e8f9873-314c-4c2b-840e-41b307ed014c,
603.0,15.0,14.0,0.0,86.0,2021-07-10 10:15:35.552,,3963.0,5.5,23.7,2021-07-10 12:05:35.161,2021-07-10 12:02:04.189,100003,4.1,34.7,4.0,21.0,31.9,저녁,0.0,11.0,902.0,UTC+0900,QyB8D3zs1J,1.9,0.5,com.sec.android.app.shealth,140.8,82b7fd0b-17ec-42a7-be5d-72db7d576dbf,
1920.0,0.0,72.0,0.0,0.0,2021-07-16 09:59:09.877,,1280.0,9.2,0.4,2021-07-16 09:59:58.124,2021-07-16 09:59:37.257,100006,0.0,9.2,0.0,8.0,4.4,저녁 간식,0.0,0.0,440.0,UTC+0900,QyB8D3zs1J,0.0,0.0,com.sec.android.app.shealth,102.0,cb5cc9af-4687-4081-be4e-f5804e29acda,
1346.0,59.0,36.0,0.0,64.0,2021-07-12 11:06:00.000,,674.0,11.2,22.4,2021-07-12 14:12:31.350,2021-07-12 14:12:31.350,100003,8.1,34.4,4.7,36.0,18.6,저녁,0.0,11.0,996.0,UTC+0900,QyB8D3zs1J,6.5,0.0,com.sec.android.app.shealth,167.6,9e03a44f-03db-47f9-85ed-43bdd194ac90,
606.0,38.0,58.0,0.0,32.0,2021-07-19 04:03:08.140,,890.0,5.7,6.4,2021-07-19 05:37:10.147,2021-07-19 05:36:06.553,100002,1.7,15.3,2.4,28.0,3.6,점심,0.0,11.0,308.0,UTC+0900,QyB8D3zs1J,1.1,0.0,com.sec.android.app.shealth,49.3,549f8bfd-0529-44f8-b122-b67d58f0704f,
362.0,4.0,5.0,0.0,42.0,2021-07-14 12:00:00.000,,1336.0,2.8,9.1,2021-07-14 14:42:53.956,2021-07-14 14:38:22.774,100003,0.8,20.4,0.9,12.0,34.5,저녁,0.0,5.0,605.0,UTC+0900,QyB8D3zs1J,3.0,0.0,com.sec.android.app.shealth,109.9,a9183170-0d62-4a13-b1fb-f047d59d4667,
2784.5,83.5,76.0,0.0,320.0,2021-07-21 04:07:00.000,,3711.0,12.2,39.9,2021-07-21 07:46:32.896,2021-07-21 07:45:05.555,100002,15.2,109.5,13.3,204.0,32.2,점심,0.0,38.0,1244.0,UTC+0900,QyB8D3zs1J,6.3,0.0,com.sec.android.app.shealth,111.7,a0b4a649-2669-4bdf-a02f-b444e12d9b3d,
496.0,3.0,138.0,0.0,7.0,2021-07-23 06:37:25.665,,52.0,0.5,2.9,2021-07-23 07:24:45.587,2021-07-23 07:23:48.274,100005,0.0,4.7,0.0,3.0,32.8,오후 간식,0.0,2.0,202.0,UTC+0900,QyB8D3zs1J,1.7,0.0,com.sec.android.app.shealth,39.7,29e7fc3a-aaea-4d95-83fa-c51cd661172d,
98.0,2.0,13.0,0.0,7.0,2021-07-16 11:33:00.000,,2023.0,0.8,4.5,2021-07-16 14:32:21.632,2021-07-16 14:30:48.378,100003,0.0,15.5,0.0,2.0,23.0,저녁,0.0,2.0,534.0,UTC+0900,QyB8D3zs1J,2.2,0.0,com.sec.android.app.shealth,107.6,8d7edaac-0ce1-4a07-9cd3-350f4ca4c064,
923.0,31.0,8.0,0.0,131.0,2021-07-25 11:23:59.195,,1420.0,2.9,34.6,2021-07-25 11:49:14.866,2021-07-25 11:48:29.425,100003,13.8,41.9,2.7,30.0,14.4,저녁,0.0,6.0,856.0,UTC+0900,QyB8D3zs1J,14.3,0.0,com.sec.android.app.shealth,90.7,993453a5-bd09-4239-85fb-1b4d7d64ee49,
1973.5,1.4,0.0,0.0,199.0,2021-07-19 12:06:35.485,,3133.5,6.0,93.1,2021-07-19 14:09:28.545,2021-07-19 05:37:52.497,100003,40.3,65.7,10.1,30.4,27.3,저녁,0.0,2.4,1297.0,UTC+0900,QyB8D3zs1J,32.4,0.0,com.sec.android.app.shealth,47.5,5add5288-9045-46db-b37d-d283a9db1e0b,
0.0,0.0,0.0,0.0,40.0,2021-07-28 07:01:36.512,,595.0,0.0,16.0,2021-07-28 07:14:01.673,2021-07-28 07:13:14.722,100005,0.0,7.0,0.0,0.0,11.0,오후 간식,0.0,0.0,225.0,UTC+0900,QyB8D3zs1J,7.0,0.0,com.sec.android.app.shealth,14.0,c8ef70c6-bc19-42ca-9af7-e199d71a8c9f,
