com.samsung.health.sleep_stage,6200039,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2021-07-13 22:12:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 22:12:22.000,2021-07-13 22:13:22.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 22:13:22.000,b24b6668-4c24-f71c-b7ba-9104900d2241,
2021-07-13 22:13:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 22:13:22.000,2021-07-13 22:16:22.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 22:16:22.000,2001de04-a302-206e-4de7-9400f6182308,
2021-07-14 04:46:11.000,00000000-0000-0000-0000-0000629194b4,,2021-07-14 04:46:11.000,2021-07-14 04:46:32.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 04:46:32.000,f743266c-a976-24ec-dbbf-23dd3d9eafc9,
2021-07-13 22:31:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 22:31:22.000,2021-07-13 22:32:22.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 22:32:22.000,eee95510-212f-279c-e467-3913d536d4e6,
2021-07-14 15:48:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 15:48:42.000,2021-07-14 15:49:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 15:49:42.000,6e86a145-2b8a-8b57-5144-6646eb8ca9e6,
2021-07-13 23:00:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 23:00:22.000,2021-07-13 23:00:49.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 23:00:49.000,b5d60489-5e60-bf38-c19c-354057705b3b,
2021-07-14 04:27:11.000,00000000-0000-0000-0000-0000629194b4,,2021-07-14 04:27:11.000,2021-07-14 04:41:11.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 04:41:11.000,cc5359ca-db38-c9d6-869a-f0374da551f8,
2021-07-14 16:07:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 16:07:42.000,2021-07-14 16:08:42.000,40001,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 16:08:42.000,208eab22-7132-7022-2ee6-ee7f880ea399,
2021-07-13 22:32:22.000,00000000-0000-0000-0000-00002f4f4ebb,,2021-07-13 22:32:22.000,2021-07-13 22:43:22.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-13 22:43:22.000,625426e6-1790-9509-f780-84279e5f5ed8,
2021-07-14 15:25:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 15:25:42.000,2021-07-14 15:47:42.000,40004,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 15:47:42.000,621be5b5-8789-cbb3-9da4-ce7e102165cb,
2021-07-14 16:36:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 16:36:42.000,2021-07-14 16:57:42.000,40004,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 16:57:42.000,35239de8-5df0-b25a-4fb3-4771318ebe31,
2021-07-14 17:41:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 17:41:42.000,2021-07-14 18:14:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 18:14:42.000,bd17625f-84bd-a490-ed48-4043ffc183d1,
2021-07-14 16:04:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 16:04:42.000,2021-07-14 16:05:42.000,40002,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 16:05:42.000,2bfa9bf2-22fa-3b79-252d-9b4e7f68e417,
2021-07-14 16:14:42.000,00000000-0000-0000-0000-00007a3b94f2,,2021-07-14 16:14:42.000,2021-07-14 16:16:42.000,40003,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-07-14 16:16:42.000,e192e1e9-af56-0b0b-e255-741b507bb37f,
