com.samsung.shealth.tracker.pedometer_step_count,6200039,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
,,0,10,2021-11-08 15:30:00.000,,,2021-11-08 15:32:01.000,2021-11-08 15:30:59.000,10,0.12409668,7.445801,0.3567505,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-08 15:30:59.000,41239ea4-e13e-fed8-46f3-cf0705fb691a,
,,0,10,2021-11-08 16:02:00.000,,,2021-11-08 16:06:01.000,2021-11-08 16:02:59.000,10,0.12819824,7.6918945,0.35084534,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-08 16:02:59.000,310048b1-f9d0-34b1-a309-469015a44ea0,
,,0,26,2021-11-09 02:51:00.000,,,2021-11-09 02:52:01.000,2021-11-09 02:51:59.000,26,0.3298991,19.793945,0.91374207,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 02:51:59.000,ab5e9263-9d48-342f-9fe6-d3d0ed0600aa,
4925,4,0,7,2021-11-09 02:50:00.000,,,2021-11-09 02:55:04.195,2021-11-09 02:55:04.195,7,1.1388888,5.61,0.29,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 02:51:00.000,446eaa63-5314-401d-996f-78aaf92f1493,
,,0,93,2021-11-09 02:54:00.000,,,2021-11-09 02:55:01.000,2021-11-09 02:54:59.000,93,1.1815186,70.89111,3.2611237,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 02:54:59.000,e731efe5-93da-e4dd-185f-b239323d891f,
,,0,111,2021-11-09 02:55:00.000,,,2021-11-09 02:56:00.000,2021-11-09 02:55:59.000,111,1.42972,85.7832,3.8750153,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 02:55:59.000,55c02223-0414-9622-5946-81dac5338ca1,
20554,4,0,26,2021-11-09 03:14:00.000,,,2021-11-09 03:14:34.148,2021-11-09 03:14:04.459,38,1.3164822,27.060001,2.19,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:15:00.000,78f68fa8-3d69-455e-8b62-c5aff12a98c8,
,,0,6,2021-11-09 02:57:00.000,,,2021-11-09 02:59:01.000,2021-11-09 02:57:59.000,6,0.079427086,4.765625,0.20698547,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 02:57:59.000,5d1cf0d2-7fc6-31f8-1b97-55f6f72aeccd,
1758,4,0,5,2021-11-09 03:29:00.000,,,2021-11-09 03:29:03.808,2021-11-09 03:29:00.299,3,1.3139107,2.31,0.12,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:30:00.000,1c0cb708-a1e2-40a5-9435-4ccfab35fc70,
19345,4,0,40,2021-11-09 03:31:00.000,,,2021-11-09 03:31:44.387,2021-11-09 03:31:18.333,40,1.6438261,31.800005,1.5999998,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:32:00.000,9f1d0e06-e36e-439e-bad3-6557111eb142,
,,0,13,2021-11-09 03:33:00.000,,,2021-11-09 03:34:01.000,2021-11-09 03:33:59.000,13,0.17386068,10.431641,0.45254517,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 03:33:59.000,87ac17e5-cbd6-e3a1-4277-eab5d9dc2dcf,
,,0,104,2021-11-09 03:43:00.000,,,2021-11-09 03:45:01.000,2021-11-09 03:43:59.000,104,1.3558838,81.35303,3.6202087,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 03:43:59.000,ea7f13ca-4f28-5df8-713f-daec598f2f15,
,,0,75,2021-11-09 03:50:00.000,,,2021-11-09 03:52:01.000,2021-11-09 03:50:59.000,75,0.9472819,56.836914,2.6406097,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 03:50:59.000,648ea10c-e429-63e0-94da-298cde2b6348,
,,0,73,2021-11-09 03:52:00.000,,,2021-11-09 03:53:01.000,2021-11-09 03:52:59.000,73,0.91732585,55.03955,2.5714111,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 03:52:59.000,f34038d6-88ad-6505-b3f6-cb6ec2d899b1,
55721,4,0,107,2021-11-09 03:45:00.000,,,2021-11-09 03:55:06.295,2021-11-09 03:55:06.295,107,1.5277778,85.13,4.28,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:46:00.000,acd582fe-4054-4871-986d-3ee919bb9fd5,
14994,4,0,31,2021-11-09 03:46:00.000,,,2021-11-09 03:55:06.338,2021-11-09 03:55:06.338,33,1.8333334,27.49,1.33,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:47:00.000,1095fae5-836b-48aa-9555-c543fc05a84f,
25913,4,0,49,2021-11-09 03:51:00.000,,,2021-11-09 03:55:06.540,2021-11-09 03:55:06.540,49,1.4722222,38.15,2.0,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:52:00.000,3adeb2a3-7031-4a2e-af25-bc05869e1d84,
,,0,14,2021-11-08 16:41:00.000,,,2021-11-08 16:43:01.000,2021-11-08 16:41:59.000,14,0.17486979,10.4921875,0.500412,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-08 16:41:59.000,497b24a3-3b34-aa89-f1ac-8f2368e079c4,
,,0,11,2021-11-08 20:29:00.000,,,2021-11-08 20:30:01.000,2021-11-08 20:29:59.000,11,0.14344075,8.606445,0.3834381,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-08 20:29:59.000,b792b4b0-fdd0-75d4-ee60-d8619e7d42b7,
,,0,15,2021-11-08 16:55:00.000,,,2021-11-08 16:56:05.000,2021-11-08 16:55:59.000,15,0.18548991,11.129395,0.5337982,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-08 16:55:59.000,81b26402-7d9e-479d-84b4-8c240ea158e7,
51797,4,0,94,2021-11-09 02:54:00.000,,,2021-11-09 02:55:04.332,2021-11-09 02:55:04.332,94,1.4166666,73.38,3.77,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 02:55:00.000,8179e404-2c8d-400c-b392-9de85df670d2,
31709,4,0,68,2021-11-09 03:52:00.000,,,2021-11-09 03:55:06.580,2021-11-09 03:55:06.580,68,1.7222222,54.61,2.76,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:53:00.000,825cb688-6d56-4317-a559-18c5e4da6fb8,
17831,4,0,30,2021-11-09 02:51:00.000,,,2021-11-09 02:55:04.243,2021-11-09 02:55:04.243,30,1.3055556,23.28,1.24,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 02:52:00.000,75c32d08-a48e-4310-a885-32fcae6b392d,
16012,4,0,28,2021-11-09 02:53:00.000,,,2021-11-09 02:55:04.291,2021-11-09 02:55:04.291,28,1.3333334,21.35,1.15,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 02:54:00.000,bfbb2b60-5f7a-43b8-bcc4-d0b04222a31b,
9440,4,0,25,2021-11-09 04:09:00.000,,,2021-11-09 04:09:59.470,2021-11-09 04:09:27.190,25,3.1228485,29.479998,1.8099997,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 04:10:00.000,22bcb2bb-ba38-444d-82b8-0902862fb539,
15782,4,0,28,2021-11-09 02:56:00.000,,,2021-11-09 02:59:14.878,2021-11-09 02:59:14.878,28,1.3888888,21.92,1.12,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 02:57:00.000,0e325c46-5719-41ac-abf0-b3b395cd8673,
50467,4,0,94,2021-11-09 02:55:00.000,,,2021-11-09 02:59:14.802,2021-11-09 02:59:14.802,94,1.4722222,74.3,3.76,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 02:56:00.000,6d16d367-0e82-45ec-93c0-d5b00349e714,
,,0,42,2021-11-09 02:56:00.000,,,2021-11-09 02:57:01.000,2021-11-09 02:56:59.000,42,0.52808434,31.685059,1.4808197,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 02:56:59.000,2b635907-ff21-fc3b-9394-4f77ed2d7bb6,
6785,4,0,15,2021-11-09 04:51:00.000,,,2021-11-09 04:55:02.203,2021-11-09 04:55:02.203,15,1.8333334,12.44,0.6,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 04:52:00.000,e00c1676-e567-4fe2-b469-5cb058693ef7,
9413,4,0,17,2021-11-09 03:27:00.000,,,2021-11-09 03:27:28.624,2021-11-09 03:27:22.297,17,1.3916308,13.099998,0.7000001,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:28:00.000,076057d4-2f98-43f3-a838-0f7d59b456da,
6205,4,0,13,2021-11-09 03:22:00.000,,,2021-11-09 03:22:17.066,2021-11-09 03:22:17.066,13,1.6388888,10.17,0.5,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:23:00.000,e1f657c2-9edf-4549-bc4a-42debbd51f2e,
,,0,11,2021-11-09 03:14:00.000,,,2021-11-09 03:15:01.000,2021-11-09 03:14:59.000,11,0.14127605,8.4765625,0.38459778,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 03:14:59.000,9b9b5794-5995-9950-4a10-0238a0280c02,
7146,4,0,17,2021-11-09 03:34:00.000,,,2021-11-09 03:34:59.099,2021-11-09 03:34:01.222,17,1.9715704,14.09,0.6,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:35:00.000,462f4065-289b-41e9-989a-39e3dda5220f,
20135,4,0,43,2021-11-09 03:33:00.000,,,2021-11-09 03:33:59.930,2021-11-09 03:33:17.098,43,1.7322427,34.880005,1.66,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:34:00.000,99cb6e23-9ea4-4c74-9ac0-03b811c53809,
10034,4,0,21,2021-11-09 03:32:00.000,,,2021-11-09 03:32:38.118,2021-11-09 03:32:26.768,21,1.6921808,16.98,0.76000005,UTC+0900,MvwKid7qVC,com.sec.android.app.shealth,2021-11-09 03:33:00.000,9ae965b6-5d37-4475-b309-e960907d5faa,
,,0,62,2021-11-09 03:47:00.000,,,2021-11-09 03:48:01.000,2021-11-09 03:47:59.000,62,0.8058512,48.351074,2.1629333,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 03:47:59.000,9b1e0064-cdaa-ce11-e5e2-b041299b2873,
,,0,37,2021-11-09 03:46:00.000,,,2021-11-09 03:47:01.000,2021-11-09 03:46:59.000,37,0.4932536,29.595215,1.2818604,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,2021-11-09 03:46:59.000,9523c40c-a34b-eec5-9f87-644bfd413b85,
