Date,Avg. mental recovery,Avg. sleep efficiency,Avg. sleep score
2021-07-13 ,87.0,94.86,78.0
2021-07-14 ,88.18,90.67,74.29
2021-07-15 ,70.0,92.61,56.0
2021-07-16 ,75.0,91.27,70.0
2021-07-17 ,70.0,91.02,59.0
2021-07-18 ,70.0,93.96,59.0
2021-07-19 ,74.0,93.24,72.0
2021-07-20 ,74.0,92.21,76.0
2021-07-21 ,68.0,92.24,63.0
2021-07-22 ,70.0,90.29,54.0
2021-07-23 ,78.66,86.82,56.07
2021-07-26 ,74.0,87.5,54.0
2021-07-28 ,79.0,92.48,71.0
2021-07-29 ,75.0,93.35,51.0
2021-07-31 ,83.0,92.53,62.0
2021-08-05 ,63.68,88.6,52.53
2021-08-09 ,79.51,85.17,58.79
2021-08-29 ,50.0,93.37,50.0
2021-08-30 ,80.0,90.94,78.0
2021-08-31 ,79.0,92.79,56.0
2021-09-01 ,73.0,90.05,67.0
2021-09-03 ,74.0,94.53,66.0
2021-09-05 ,64.94,90.66,64.81
2021-09-08 ,70.0,91.26,49.0
2021-09-09 ,70.0,91.75,54.0
2021-09-10 ,70.0,91.22,57.0
2021-09-11 ,70.0,65.22,31.0
2021-09-12 ,82.0,89.91,74.0
2021-09-13 ,72.0,93.24,69.0
2021-09-14 ,67.69,88.08,56.35
2021-09-15 ,82.0,86.04,74.0
2021-09-18 ,74.0,89.09,74.0
2021-09-20 ,70.0,89.9,54.0
2021-09-21 ,80.0,88.49,73.0
2021-09-22 ,75.0,89.85,67.0
2021-09-26 ,74.0,90.48,59.0
2021-09-30 ,70.0,87.82,50.0
2021-10-01 ,83.0,90.36,68.0
2021-10-04 ,70.0,92.42,49.0
2021-10-05 ,74.5,88.45,52.79
2021-10-07 ,75.0,92.01,78.0
2021-10-09 ,74.0,90.95,74.0
2021-10-12 ,75.7,91.67,68.36
2021-10-13 ,87.0,92.87,62.0
2021-10-15 ,76.78,90.08,58.42
2021-10-17 ,75.0,99.29,64.0
2021-10-18 ,80.0,91.57,71.0
2021-10-19 ,77.0,92.33,62.0
2021-10-20 ,73.0,92.25,56.0
2021-10-23 ,75.0,90.57,76.0
2021-10-25 ,75.0,87.05,82.0
2021-10-26 ,73.0,82.83,51.0
2021-10-29 ,78.26,90.08,66.51
2021-10-30 ,83.0,88.27,74.0
2021-11-02 ,74.86,91.18,61.73
2021-11-03 ,79.0,90.77,73.0
2021-11-05 ,87.0,92.43,84.0
2021-11-07 ,78.48,90.71,54.13
2021-11-08 ,76.26,93.22,51.75
2021-11-09 ,70.0,90.08,50.0
2021-11-10 ,70.0,91.84,54.0
2021-11-11 ,78.0,91.29,56.0
2021-11-13 ,80.0,93.94,71.0
2021-11-14 ,75.0,90.02,70.0
2021-11-15 ,76.0,85.9,51.0
2021-11-19 ,74.0,87.32,66.0
2021-11-21 ,73.28,88.37,54.08
2021-11-22 ,83.11,91.86,51.48
2021-11-23 ,66.78,83.24,53.43
2021-11-24 ,76.62,82.0,48.13
2021-11-25 ,70.0,93.01,59.0
2021-11-27 ,79.0,87.36,74.0
2021-11-28 ,79.0,94.09,76.0
2021-11-29 ,78.0,85.61,74.0
2021-11-30 ,79.0,92.83,65.0
2021-12-01 ,73.0,89.79,71.0
2021-12-02 ,73.0,90.43,78.0
2021-12-03 ,82.0,89.29,65.0
2021-12-04 ,79.0,90.84,81.0
2021-12-05 ,77.94,93.55,74.06
2021-12-06 ,87.0,94.25,56.0
2021-12-07 ,80.0,92.04,76.0
2021-12-10 ,83.0,91.72,82.0
2021-12-11 ,80.0,88.68,73.0
