com.samsung.shealth.tracker.pedometer_event,6200039,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2021-11-09 07:11:25.000,2021-11-09 07:29:59.000,2021-11-09 07:29:59.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1596,2021-11-09 07:29:59.000,c29b7277-8256-fa82-3b03-b6754c2602fe,
2021-11-09 07:51:00.000,2021-11-09 08:09:26.000,2021-11-09 08:09:26.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1257,2021-11-09 08:09:26.000,5bb99f99-4717-1630-9e7e-c8eb3c6499c7,
2021-11-12 07:09:15.000,2021-11-12 07:20:51.000,2021-11-12 07:20:51.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,915,2021-11-12 07:20:51.000,7d8b6d4b-99a9-1c0e-1f60-8f0798d021c7,
2021-11-22 03:30:21.000,2021-11-22 03:43:10.000,2021-11-22 03:43:10.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1161,2021-11-22 03:43:10.000,20726d99-af54-99fb-7d29-dd30b18759a9,
2021-11-22 06:42:09.000,2021-11-22 06:54:06.000,2021-11-22 06:54:06.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,926,2021-11-22 06:54:06.000,49da0d94-9a68-366e-8d30-d99c75b60627,
2021-11-17 05:41:55.000,2021-11-17 05:59:01.000,2021-11-17 05:59:01.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1457,2021-11-17 05:59:01.000,87f3eebf-1346-3bb7-416a-a7e11e3db068,
2021-12-04 08:01:19.000,2021-12-04 08:13:19.000,2021-12-04 08:13:19.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,924,2021-12-04 08:13:19.000,09e0dde3-bfcd-00d1-448b-9623c53f54ce,
2021-12-07 04:49:44.000,2021-12-07 05:05:20.000,2021-12-07 05:05:20.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1330,2021-12-07 05:05:20.000,53524ccc-490f-0ada-04ee-ed8ce1dd1802,
2021-12-07 06:20:35.000,2021-12-07 06:35:44.000,2021-12-07 06:35:44.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1188,2021-12-07 06:35:44.000,026f002e-fb00-6d64-6c8c-69735c1d9a21,
2021-11-17 04:26:06.000,2021-11-17 04:40:44.000,2021-11-17 04:40:44.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1189,2021-11-17 04:40:44.000,ed36ce80-d16b-9b96-4e05-8b2e18252487,
2021-11-17 04:52:23.000,2021-11-17 05:07:33.000,2021-11-17 05:07:33.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1128,2021-11-17 05:07:33.000,42fa81e2-a8fa-1370-db4c-122f6c841322,
2021-12-01 08:01:56.000,2021-12-01 08:17:18.000,2021-12-01 08:17:18.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1323,2021-12-01 08:17:18.000,94206bc7-b170-1880-51fa-3d1e66d6bea3,
2021-12-04 02:42:30.000,2021-12-04 02:56:25.000,2021-12-04 02:56:25.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1039,2021-12-04 02:56:25.000,b46dc360-4664-dad7-9c47-ec3346a33bf6,
2021-12-10 06:38:38.000,2021-12-10 06:55:45.000,2021-12-10 06:55:45.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1269,2021-12-10 06:55:45.000,c69482a1-1f17-4170-3923-2424b0cbcb05,
2021-11-16 05:28:40.000,2021-11-16 05:41:37.000,2021-11-16 05:41:37.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,921,2021-11-16 05:41:37.000,ccfa2b7d-52cc-cd55-6144-d0e175238736,
2021-12-01 06:32:40.000,2021-12-01 06:47:29.000,2021-12-01 06:47:29.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1275,2021-12-01 06:47:29.000,70889fcc-a4c8-5dfb-3d09-cd049169f1a4,
2021-12-10 05:12:35.000,2021-12-10 05:28:34.000,2021-12-10 05:28:34.000,1,UTC+0900,ULvLH/6rWJ,com.sec.android.app.shealth,1250,2021-12-10 05:28:34.000,260c9824-e1ae-bcc7-9ca1-4db2ce566405,
